t1,t2,t3
-0.127,-0.127,-0.127
-0.099,-0.099,-0.099
-0.074,-0.074,-0.074
-0.052,-0.052,-0.052
-0.030,-0.030,-0.030
-0.008,-0.008,-0.008
0.014,0.014,0.014
0.037,0.037,0.037
0.060,0.060,0.060
0.083,0.083,0.083
0.097,0.097,0.097
0.106,0.106,0.106
0.110,0.110,0.110
0.112,0.112,0.112
0.113,0.113,0.113
0.112,0.112,0.112
0.112,0.112,0.112
0.110,0.110,0.110
0.109,0.109,0.109
0.107,0.107,0.107
0.105,0.105,0.105
0.103,0.103,0.103
0.101,0.101,0.101
0.099,0.099,0.099
0.096,0.096,0.096
0.094,0.094,0.094
0.092,0.092,0.092
0.090,0.090,0.090
0.088,0.088,0.088
0.086,0.086,0.086
0.084,0.084,0.084
0.083,0.083,0.083
0.081,0.081,0.081
0.080,0.080,0.080
0.078,0.078,0.078
0.063,0.063,0.063
0.057,0.057,0.057
0.046,0.046,0.046
0.041,0.041,0.041
0.046,0.046,0.046
0.076,0.076,0.076
0.083,0.083,0.083
0.079,0.079,0.079
0.074,0.074,0.074
0.067,0.067,0.067
0.062,0.062,0.062
0.052,0.052,0.052
0.031,0.031,0.031
0.016,0.016,0.016
0.010,0.010,0.010
0.032,0.032,0.032
0.065,0.065,0.065
0.040,0.040,0.040
0.047,0.047,0.047
0.058,0.058,0.058
0.055,0.055,0.055
0.055,0.055,0.055
0.054,0.054,0.054
0.054,0.054,0.054
0.055,0.055,0.055
0.046,0.046,0.046
0.052,0.052,0.052
0.054,0.054,0.054
0.053,0.053,0.053
0.070,0.070,0.070
0.065,0.065,0.065
0.066,0.066,0.066
0.063,0.063,0.063
0.063,0.063,0.063
0.062,0.062,0.062
0.062,0.062,0.062
0.063,0.063,0.063
0.058,0.058,0.058
0.056,0.056,0.056
0.062,0.062,0.062
0.059,0.059,0.059
0.060,0.060,0.060
0.062,0.062,0.062
0.064,0.064,0.064
0.065,0.065,0.065
0.065,0.065,0.065
0.060,0.060,0.060
0.060,0.060,0.060
0.058,0.058,0.058
0.062,0.062,0.062
0.058,0.058,0.058
0.060,0.060,0.060
0.061,0.061,0.061
0.059,0.059,0.059
0.059,0.059,0.059
0.058,0.058,0.058
0.057,0.057,0.057
0.068,0.068,0.068
0.041,0.041,0.041
0.066,0.066,0.066
0.090,0.090,0.090
0.046,0.046,0.046
0.061,0.061,0.061
0.074,0.074,0.074
0.058,0.058,0.058
0.059,0.059,0.059
0.060,0.060,0.060
0.061,0.061,0.061
0.062,0.062,0.062
0.054,0.054,0.054
0.063,0.063,0.063
0.046,0.046,0.046
0.063,0.063,0.063
0.065,0.065,0.065
0.044,0.044,0.044
0.062,0.062,0.062
0.081,0.081,0.081
0.040,0.040,0.040
0.063,0.063,0.063
0.067,0.067,0.067
0.064,0.064,0.064
0.063,0.063,0.063
0.063,0.063,0.063
0.059,0.059,0.059
0.055,0.055,0.055
0.054,0.054,0.054
0.057,0.057,0.057
0.065,0.065,0.065
0.036,0.036,0.036
0.074,0.074,0.074
0.053,0.053,0.053
0.050,0.050,0.050
0.068,0.068,0.068
0.042,0.042,0.042
0.062,0.062,0.062
0.058,0.058,0.058
0.056,0.056,0.056
0.058,0.058,0.058
